CLIENT_CATEGORY;SEGMENT;Service;Channeltype;Source;football;DECLARED_FAULT;CREATE_DATE;CLOSETIME;all_num_of_repeat;num_of_repeat2;num_of_repeat5;num_of_repeat10;num_of_repeat30;num_of_repeat60;MITYPE;MIPRIORITY;MIIMPACT;TECHNICAL_DISTRICT;NumWFMforEI;Last_WFM_days_waiting;EIDayOfWeek;EIHourCreate
ФЛ;МР;8678;10769;8750;5;Интернет. Неустойчивая связь, плохие параметры;1502084695;1502150400;2;0;0;0;2;2;1;0;0;35;1;3;2;8
ФЛ;МР;8678;9204;8750;3;Телефония. Беспокоящие вызовы;1502084734;1502186171;1;0;0;0;1;1;0;0;0;32;1;1;2;8
ФЛ;МР;8678;9633;8750;7;Интернет. Не работает интернет;1502084745;1502150400;2;1;1;1;2;2;1;0;0;0;0;0;2;8
ФЛ;МР;8679;9204;8750;6;Интернет. Не открываются все страницы;1502084736;1502150400;4;1;1;1;2;2;1;0;0;0;0;0;2;8
ФЛ;МР;8678;9633;8750;3;Интернет. Не работает интернет;1502084800;1502115856;20;0;0;0;1;3;0;0;0;51;1;1;2;8
ФЛ;МР;8679;9204;8750;5;Интернет. Не открываются все страницы;1502084798;1502150400;1;0;0;0;1;1;1;0;0;0;0;0;2;8
ФЛ;МР;8680;9205;8750;3;Телефония. Посторонние шумы, эхо, треск, искажение голоса;1502084824;1502123338;1;0;0;0;1;1;0;0;0;44;1;0;2;8
ФЛ;МР;8678;9204;8750;3;ТВ. Рассыпание/замирание;1502084860;1502121212;5;0;0;0;1;1;0;0;0;41;1;0;2;8
ФЛ;МР;8679;9204;8750;5;ONT. Системная ошибка;1502084932;1502150400;2;0;0;0;1;1;1;0;0;0;0;0;2;8
ФЛ;МР;8678;9633;8750;3;Интернет. Не открываются страницы;1502084939;1502188153;2;0;0;0;1;1;0;0;0;10;1;1;2;8
ФЛ;МР;8679;9633;8750;4;Интернет. Ошибка 691;1502084990;1502150400;2;0;0;0;1;1;1;0;0;0;0;0;2;8
ФЛ;МР;8679;9633;8750;4;IP TV. Черный или синий экран;1502085059;1502096674;4;0;0;0;1;2;0;0;0;0;0;0;2;8
SME;КОРП;9650;0;7470;3;SLX_Не работает INTERNET;1502085063;1502086931;0;0;0;0;0;0;0;0;0;0;0;0;2;8
NKA;КОРП;9650;0;7470;5;SLX_Не работает INTERNET;1502085077;1502109491;0;0;0;0;0;0;1;0;0;0;0;0;2;8
ФЛ;МР;8678;9204;8750;6;Интернет. Другое;1502085090;1502150400;2;0;0;0;1;1;1;0;0;0;0;0;2;8
